epoch,loss,lr,val_loss
0,0.00015053985407575965,1e-04,0.0001497009361628443
1,0.00014880431990604848,1e-04,0.00014925459981895983
2,0.00014615926193073392,1e-04,0.00014982229913584888
3,0.0001450096460757777,1e-04,0.00014970182382967323
4,0.00014623529568780214,1e-04,0.00013891281560063362
5,0.00011606806219788268,1e-04,0.00010339116852264851
6,6.951703107915819e-05,1e-04,4.731755325337872e-05
7,5.416728163254447e-05,1e-04,4.730806176667102e-05
8,4.7747591452207416e-05,1e-04,3.924781412933953e-05
9,4.4505282858153805e-05,1e-04,4.0750364860286936e-05
10,3.833164373645559e-05,1e-04,2.425613274681382e-05
11,3.645079050329514e-05,1e-04,2.2930003979126923e-05
12,3.3884472941281274e-05,1e-04,2.4860264602466486e-05
13,3.1081464840099216e-05,1e-04,2.798554123728536e-05
14,2.887274786189664e-05,1e-04,1.7416135960957035e-05
15,2.8674367058556527e-05,1e-04,2.155288530047983e-05
16,2.8288957764743827e-05,1e-04,1.936540866154246e-05
17,2.6599527700454928e-05,1e-04,1.951491867657751e-05
18,2.652260627655778e-05,1e-04,1.6205802239710465e-05
19,2.4902525183279067e-05,1e-04,1.5257025552273262e-05
20,2.3819220587029122e-05,1e-04,1.567189428897109e-05
21,2.365194450248964e-05,1e-04,1.9069697373197414e-05
22,2.3210786821437068e-05,1e-04,1.8904074750025757e-05
23,2.2045882360544056e-05,1e-04,2.0018920622533187e-05
24,2.011415926972404e-05,5e-05,1.3293128176883329e-05
25,1.9350469301571138e-05,5e-05,1.5278879800462164e-05
26,1.860982592916116e-05,5e-05,1.3322467566467822e-05
27,1.8471848306944594e-05,5e-05,1.249960496352287e-05
28,1.8065746189677157e-05,5e-05,1.5516752682742663e-05
29,1.8029846614808775e-05,5e-05,1.8248807464260608e-05
30,1.7672389731160365e-05,5e-05,1.286924543819623e-05
31,1.630228871363215e-05,2.5e-05,1.389858061884297e-05
32,1.6472653442178853e-05,2.5e-05,1.4428633221541531e-05
33,1.5662169971619733e-05,2.5e-05,1.2442835213732906e-05
34,1.6116266124299727e-05,2.5e-05,1.1864834050356876e-05
35,1.5461268048966303e-05,2.5e-05,1.2228765626787208e-05
36,1.581208925927058e-05,2.5e-05,1.3527608643926214e-05
37,1.5164299838943407e-05,2.5e-05,1.2499223885242827e-05
38,1.511887057858985e-05,2.5e-05,1.2350906217761803e-05
39,1.5210002857202198e-05,2.5e-05,1.2412700925779063e-05
40,1.4331870261230506e-05,1.25e-05,1.4083621863392182e-05
41,1.3924654012953397e-05,1.25e-05,1.3892194147047121e-05
42,1.4083863788982853e-05,1.25e-05,1.4001554518472403e-05
43,1.3538307939597871e-05,1.25e-05,1.5281728337868117e-05
44,1.3347015737963375e-05,1.25e-05,1.1020907550118864e-05
45,1.3623881386592984e-05,1.25e-05,1.305612204305362e-05
46,1.3726395991398022e-05,1.25e-05,1.5885558241279796e-05
47,1.3215892067819368e-05,6.25e-06,1.4165922948450316e-05
48,1.3766220035904553e-05,6.25e-06,1.4824513527855743e-05
49,1.2961441825609654e-05,6.25e-06,1.2865940334449988e-05
50,1.285101370740449e-05,6.25e-06,1.361433260171907e-05
51,1.3027129170950502e-05,6.25e-06,1.2045483344991226e-05
52,1.3346313608053606e-05,6.25e-06,1.4180358448356856e-05
53,1.2794144822692033e-05,6.25e-06,1.2616411368071567e-05
54,1.2902444723295048e-05,3.125e-06,1.4157172699924558e-05
55,1.2553087799460627e-05,3.125e-06,1.3938076335762162e-05
56,1.2556513866002206e-05,3.125e-06,1.3658836905960925e-05
57,1.264694583369419e-05,3.125e-06,1.3480443158186972e-05
58,1.2314641935518011e-05,3.125e-06,1.4218001524568535e-05
59,1.2687719390669372e-05,3.125e-06,1.1706231816788204e-05
60,1.2792382221959997e-05,3.125e-06,1.2825648809666745e-05
61,1.2583174793689977e-05,1.5625e-06,1.4636469131801277e-05
62,1.2556094588944688e-05,1.5625e-06,1.2230043466843199e-05
63,1.2462538506952114e-05,1.5625e-06,1.3723355550609995e-05
64,1.2052741112711374e-05,1.5625e-06,1.3623401173390448e-05
